Work item ID,Work type,Summary,Description,Parent,Priority,Labels
1,Epic,Epic 0: Nền tảng kỹ thuật,"Nhóm phát triển có một nền tảng triển khai tái lập cho local, test và AWS staging gồm cấu hình môi trường, PostgreSQL/Alembic, S3/ECR/IAM/networking, Jenkins/Terraform, observability, application shells, API mocks và test harness trước khi phát triển tính năng.",,Highest,"heritagegraph,epic-0"
2,Story,"0.1 Chuẩn hóa repository, môi trường và cấu hình secrets","Là một lập trình viên,
Tôi muốn có cấu hình được tài liệu hóa và có thể tái lập cho các môi trường local, test và staging,
Để tôi có thể chạy và kiểm tra HeritageGraph mà không phụ thuộc vào thiết lập riêng của từng máy chưa được tài liệu hóa hoặc đưa secrets vào source control.

**Tiêu chí chấp nhận:**

**Cho trước** một bản clone mới của repository
**Khi** developer làm theo hướng dẫn thiết lập
**Thì** backend và frontend cài được dependency bằng các phiên bản runtime/package manager đã quy định
**Và** các lệnh chạy, test và kiểm tra health cơ bản được tài liệu hóa.

**Cho trước** các thành phần backend, frontend, data pipeline và observability cần configuration
**Khi** developer xem các file environment mẫu
**Thì** mọi biến bắt buộc được liệt kê với mô tả và giá trị phát triển an toàn
**Và** file mẫu không chứa credential hoặc secret thật
**Và** secret/runtime artifacts được loại khỏi source control.

**Cho trước** ứng dụng khởi động trong local, test hoặc staging
**Khi** configuration bắt buộc bị thiếu hoặc sai định dạng
**Thì** ứng dụng dừng sớm với thông báo chỉ rõ tên configuration không hợp lệ
**Và** không ghi giá trị secret vào log.

**Cho trước** repository đã có code và configuration trước đó
**Khi** story này được triển khai
**Thì** cấu trúc hiện hữu được tái sử dụng hoặc chuẩn hóa thay vì tạo song song một hệ configuration mới
**Và** các thay đổi không làm mất khả năng chạy những test hiện có.",1,Highest,"heritagegraph,epic-0,role-devops"
3,Story,"0.2 Thiết lập PostgreSQL, extensions và Alembic baseline","Là một lập trình viên backend,
Tôi muốn có PostgreSQL 16 baseline có thể tái lập cho local, test và AWS staging,
Để các thay đổi schema có thể được phát triển, kiểm tra và triển khai nhất quán.

**Tiêu chí chấp nhận:**

**Cho trước** developer đã hoàn tất cấu hình môi trường ở Story 0.1
**Khi** khởi động database local theo hướng dẫn
**Thì** PostgreSQL 16 sẵn sàng qua health check
**Và** dữ liệu được lưu trong managed volume
**Và** database không dùng credential production.

**Cho trước** một database trống
**Khi** chạy Alembic upgrade tới revision mới nhất
**Thì** schema baseline hiện có được tạo thành công
**Và** các extension `pgvector` và `pg_trgm` cần thiết được bật
**Và** chạy lại migration không gây lỗi hoặc tạo object trùng.

**Cho trước** migration thay đổi database
**Khi** CI hoặc developer kiểm tra migration
**Thì** upgrade được chạy trên database sạch
**Và** downgrade/rollback được kiểm tra khi migration hỗ trợ rollback
**Và** lỗi migration làm check thất bại thay vì bị bỏ qua.

**Cho trước** backend kết nối local, test hoặc RDS staging
**Khi** ứng dụng khởi động
**Thì** connection URL, pool và SSL behavior được lấy từ environment configuration
**Và** health endpoint phân biệt được trạng thái API sống với trạng thái database sẵn sàng
**Và** credential/connection string không xuất hiện trong logs.

**Cho trước** repository đã có `schema.sql` và Alembic migrations
**Khi** thiết lập baseline
**Thì** migration history hiện có được kiểm kê và dùng làm nguồn triển khai
**Và** không tạo một schema song song hoặc tạo trước bảng chỉ phục vụ các story tương lai.",1,Highest,"heritagegraph,epic-0,role-data"
4,Story,"0.3 Provision AWS staging, storage và container foundation","Là một lập trình viên nền tảng,
Tôi muốn có một môi trường AWS staging tối thiểu và có thể tái lập,
Để các thành phần HeritageGraph có thể được triển khai và tích hợp trước khi bắt đầu phát triển tính năng.

**Tiêu chí chấp nhận:**

**Cho trước** lựa chọn AWS compute vẫn đang mở
**Khi** story bắt đầu
**Thì** một ADR so sánh phương án hiện có, ECS/Fargate và EC2-based containers theo chi phí, độ phức tạp, thời gian triển khai, inference và rollback
**Và** ADR chọn phương án nhỏ nhất đáp ứng staging/demo
**Và** EKS hoặc MWAA không được chọn nếu chưa có nhu cầu được chứng minh.

**Cho trước** AWS account và staging configuration hợp lệ
**Khi** áp dụng infrastructure definition
**Thì** staging có container registry ECR, S3 canonical bucket, networking cần thiết và các IAM roles tách theo trách nhiệm
**Và** infrastructure có thể được tạo hoặc cập nhật lặp lại mà không sinh resource ngoài kiểm soát
**Và** state và secrets không được commit vào repository.

**Cho trước** RDS PostgreSQL staging được kết nối với backend
**Khi** kiểm tra network access
**Thì** RDS không public trực tiếp
**Và** chỉ workload/role được cấp quyền mới kết nối được
**Và** migration baseline từ Story 0.2 chạy thành công trên staging.

**Cho trước** backend image được đưa lên ECR
**Khi** triển khai lên compute target đã chọn
**Thì** public ingress chỉ expose endpoint cần thiết qua HTTPS
**Và** backend truy cập được RDS và S3 bằng IAM/configuration phù hợp
**Và** frontend hoặc smoke client gọi được FastAPI health endpoint.

**Cho trước** một raw document, manifest hoặc test asset
**Khi** workload được cấp quyền ghi/đọc S3
**Thì** object được lưu dưới prefix/policy đã quy định
**Và** workload không thể thực hiện hành động ngoài quyền tối thiểu của nó
**Và** S3 vẫn là canonical MVP object store, không có critical-path dual-write sang R2/Azure.

**Cho trước** staging deployment lỗi hoặc cần loại bỏ
**Khi** operator làm theo runbook
**Thì** có quy trình rollback/cleanup được tài liệu hóa
**Và** resource ownership và chi phí dự kiến có thể kiểm tra được.",1,High,"heritagegraph,epic-0,role-devops"
5,Story,0.4 Tự động hóa Jenkins CI/CD và Terraform delivery,"Là một lập trình viên,
Tôi muốn có delivery pipeline tự động với các quality gate bắt buộc,
Để các thay đổi được đưa lên AWS staging nhất quán và các bản build không an toàn bị từ chối trước khi triển khai.

**Tiêu chí chấp nhận:**

**Cho trước** một pull request thay đổi backend, frontend, migration hoặc infrastructure
**Khi** Jenkins pipeline chạy
**Thì** pipeline chỉ chạy các component checks liên quan nhưng luôn áp dụng lint/type checks và tests bắt buộc
**Và** failure ở bất kỳ required gate nào chặn build/deploy
**Và** kết quả từng gate được hiển thị rõ.

**Cho trước** thay đổi có database migration
**Khi** pipeline kiểm tra migration
**Thì** migration được chạy trên database kiểm thử sạch
**Và** lỗi upgrade hoặc rollback check làm pipeline thất bại
**Và** staging không được migrate nếu build chưa vượt qua các gate trước đó.

**Cho trước** thay đổi có Terraform
**Khi** CI chạy infrastructure checks
**Thì** formatting, validation và plan được thực hiện
**Và** plan có thể review trước apply
**Và** Jenkins deploy role tách biệt với runtime roles và chỉ có quyền cần thiết.

**Cho trước** branch/revision được phép deploy đã vượt qua mọi gate
**Khi** pipeline build và phát hành component
**Thì** container image được gắn immutable revision tag và push lên ECR
**Và** staging deploy đúng image revision đó
**Và** health/smoke checks chạy sau deploy.

**Cho trước** smoke check sau deploy thất bại
**Khi** pipeline xử lý deployment failure
**Thì** release được đánh dấu thất bại
**Và** hệ thống rollback về revision tốt gần nhất hoặc cung cấp thao tác rollback được tài liệu hóa
**Và** pipeline không báo thành công giả.

**Cho trước** model hoặc prompt mới cần rollout
**Khi** delivery được cấu hình
**Thì** model/prompt rollout là pipeline riêng với software deployment
**Và** không tự động promote 10% → 50% → 100% nếu quality, grounding, latency hoặc error gate chưa đạt.

**Cho trước** credential được Jenkins sử dụng
**Khi** pipeline ghi log hoặc xuất artifact
**Thì** secrets được lấy từ credential store phù hợp
**Và** token, password và connection string không xuất hiện trong log/artifact.",1,High,"heritagegraph,epic-0,role-devops"
6,Story,0.5 Thiết lập observability baseline,"Là một người vận hành,
Tôi muốn metrics, logs và traces có tương quan xuyên suốt HeritageGraph,
Để tôi có thể phát hiện lỗi và chẩn đoán request mà không làm lộ dữ liệu nhạy cảm.

**Tiêu chí chấp nhận:**

**Cho trước** một request đi qua frontend và FastAPI
**Khi** request được xử lý thành công hoặc thất bại
**Thì** hệ thống gán hoặc truyền correlation/trace ID
**Và** structured logs có service, environment, severity, timestamp và correlation ID
**Và** response/log không làm lộ password, token, raw IP hoặc dữ liệu cá nhân nhạy cảm.

**Cho trước** API và dependency hoạt động
**Khi** Prometheus thu metrics
**Thì** có tối thiểu request count, error count, duration histogram và dependency health
**Và** metric labels không chứa giá trị unbounded như raw URL, user input hoặc entity ID tùy ý
**Và** p50/p95/p99 có thể tính từ dữ liệu thu được.

**Cho trước** một request gọi database hoặc service nội bộ
**Khi** OpenTelemetry tracing được bật
**Thì** trace thể hiện đường đi qua API và dependency adapter phù hợp
**Và** span lỗi giữ đủ metadata để chẩn đoán mà không chứa secret hoặc raw sensitive content
**Và** trace được gửi tới Tempo/X-Ray target đã cấu hình.

**Cho trước** ứng dụng hoặc pipeline ghi structured logs
**Khi** Loki thu thập log
**Thì** operator có thể lọc theo service, environment, severity và correlation ID
**Và** retention/configuration phù hợp môi trường demo được tài liệu hóa.

**Cho trước** một lượt gọi Qwen hoặc grounded QA trong các story sau
**Khi** Langfuse integration được sử dụng
**Thì** trace contract hỗ trợ model, prompt, corpus version, evidence IDs, token usage, latency và grounding result
**Và** raw prompt/evidence chỉ được lưu theo privacy policy đã cấu hình
**Và** observability failure không làm request nghiệp vụ thất bại.

**Cho trước** telemetry baseline đang chạy
**Khi** operator mở Grafana
**Thì** dashboard hiển thị service health, request/error rate và latency
**Và** có alert baseline cho service unavailable, error-rate spike và latency threshold
**Và** dashboard/alert definitions được version hóa.

**Cho trước** một smoke request trên AWS staging
**Khi** request hoàn tất
**Thì** operator truy vết được request từ health/API signal qua logs và service trace
**Và** smoke test xác nhận telemetry endpoint không public ngoài policy cho phép.",1,Medium,"heritagegraph,epic-0,role-devops"
7,Story,"0.6 Thiết lập design foundations, application shells và API mocks","Là một lập trình viên frontend,
Tôi muốn có design foundations đã được phê duyệt cùng các application shell public/admin chạy được với API mocks,
Để các story UI có thể được phát triển nhất quán trước khi toàn bộ tính năng backend sẵn sàng.

**Tiêu chí chấp nhận:**

**Cho trước** UX contract hiện hành
**Khi** Figma foundations và frontend theme được thiết lập
**Thì** color, typography, spacing, radius, elevation và motion tokens có tên semantic thống nhất
**Và** mapping giữa Figma tokens và code tokens được tài liệu hóa
**Và** contrast cơ bản đáp ứng WCAG 2.1 AA.

**Cho trước** người dùng mở Public Portal shell
**Khi** điều hướng giữa `/`, `/explore`, `/map`, `/chat` và `/preferences`
**Thì** các route có shared heritage-storytelling navigation/layout và placeholder state phù hợp
**Và** desktop/mobile giữ cùng hierarchy
**Và** shell không giả vờ cung cấp feature chưa được triển khai.

**Cho trước** admin đã vào `/admin/*` shell
**Khi** điều hướng giữa các khu vực quản trị placeholder
**Thì** giao diện dùng Ant Design dashboard/form/table conventions thay vì Tapestry composition
**Và** public và admin theme không làm rò style hoặc layout sang nhau
**Và** route structure sẵn sàng cho auth guard ở Story 1.1.

**Cho trước** OpenAPI contract hoặc response schema được xác định
**Khi** frontend gọi API mock
**Thì** mock trả response đúng schema cho representative success, empty và error cases
**Và** frontend dùng generated/shared types thay vì khai báo payload trùng lặp
**Và** contract drift có thể được phát hiện bởi automated check.

**Cho trước** một page đang loading, không có dữ liệu hoặc gặp lỗi
**Khi** shell render state tương ứng
**Thì** có reusable loading, empty và error primitives
**Và** focus, keyboard navigation, landmark và accessible name cơ bản hoạt động
**Và** trạng thái không chỉ được phân biệt bằng màu sắc.

**Cho trước** frontend shell được chạy local hoặc staging
**Khi** thực hiện smoke test ở viewport desktop và mobile đại diện
**Thì** navigation và route rendering hoạt động không có horizontal overflow ngoài ý muốn
**Và** frontend có thể chuyển giữa mock base URL và FastAPI base URL bằng environment configuration
**Và** không cần chỉnh source code để đổi môi trường.",1,Highest,"heritagegraph,epic-0,role-fe"
8,Story,"0.7 Thiết lập test harness, fixtures và documentation templates","Là một lập trình viên,
Tôi muốn có hạ tầng test tự động và các mẫu tài liệu có thể tái sử dụng,
Để mọi story sau này đều có thể chứng minh hành vi và để lại bằng chứng triển khai nhất quán.

**Tiêu chí chấp nhận:**

**Cho trước** backend code cần unit, database hoặc integration test
**Khi** developer chạy test suite theo documented command
**Thì** pytest discovery, markers và test configuration hoạt động nhất quán local/CI
**Và** test database được cô lập và reset giữa các test phù hợp
**Và** test không phụ thuộc credential hoặc shared staging data.

**Cho trước** story cần representative knowledge data
**Khi** test sử dụng fixture/factory
**Thì** fixture có document, passage, entity và provenance tối thiểu với ID xác định
**Và** có thể mở rộng cho draft/published/version-isolation cases
**Và** expected result được xác định độc lập với implementation đang test.

**Cho trước** frontend và API contract cần kiểm tra
**Khi** contract test chạy
**Thì** representative success, validation error và service error payload được kiểm tra với schema hiện hành
**Và** mismatch giữa generated frontend types/mock và OpenAPI làm test thất bại.

**Cho trước** Public/Admin shell chạy với mock hoặc test backend
**Khi** Playwright smoke suite chạy
**Thì** suite kiểm tra route chính, navigation và một viewport desktop/mobile đại diện
**Và** lưu screenshot/trace khi thất bại
**Và** selector ưu tiên role/accessible name thay vì phụ thuộc CSS structure dễ vỡ.

**Cho trước** AI/retrieval behavior được thêm trong các epic sau
**Khi** developer thêm regression case
**Thì** harness hỗ trợ fixed query, versioned evidence và deterministic expected gate/result
**Và** report có chỗ ghi model, prompt, corpus và evaluation dataset version
**Và** test không được coi là pass chỉ vì request không crash.

**Cho trước** một story thay đổi API, database, operations hoặc architecture
**Khi** story hoàn tất
**Thì** có template phù hợp cho API/data docs, migration/rollback note, ADR hoặc runbook
**Và** test evidence và demo evidence có vị trí/link convention thống nhất
**Và** tài liệu không yêu cầu sao chép cùng một nguồn sự thật vào nhiều nơi.

**Cho trước** Jenkins pipeline từ Story 0.4
**Khi** test harness được tích hợp
**Thì** unit, integration, contract và Playwright smoke checks chạy ở stage phù hợp
**Và** failure artifact được giữ để chẩn đoán
**Và** required test failure chặn deployment.",1,High,"heritagegraph,epic-0,role-be"
9,Epic,Epic 1: Admin Knowledge Studio,"Quản trị viên đăng nhập và biên soạn trọn một knowledge package — document, passage, entity/alias/place profile, claim, timeline, relation, narrative và evidence — ở trạng thái draft mà không cần thao tác SQL, UUID hoặc foreign key thủ công.",,Highest,"heritagegraph,epic-1"
10,Story,"1.1 Xác thực, phân quyền và audit cho Admin","Là một quản trị viên,
Tôi muốn đăng nhập an toàn và mọi thao tác quản trị được phân quyền, ghi audit,
Để chỉ người được phép mới có thể sửa đổi tri thức văn hóa và mọi thay đổi đều có người chịu trách nhiệm.

**Tiêu chí chấp nhận:**

**Cho trước** một Admin account được provision hợp lệ
**Khi** Admin đăng nhập bằng đúng thông tin
**Thì** password được kiểm tra bằng Argon2id
**Và** session được cấp qua cookie `HttpOnly`, `Secure` trên staging/production và `SameSite` phù hợp
**Và** raw password hoặc session token không xuất hiện trong response body, log hoặc trace.

**Cho trước** credential sai hoặc account không được phép đăng nhập
**Khi** gửi login request
**Thì** hệ thống từ chối bằng thông báo không tiết lộ email/account nào tồn tại
**Và** không tạo authenticated session
**Và** sự kiện thất bại được ghi ở mức đủ để điều tra nhưng không chứa password, token hoặc raw IP.

**Cho trước** request tới `/admin/*` hoặc Admin API
**Khi** request không có session hợp lệ hoặc không có quyền cần thiết
**Thì** UI chuyển tới login hoặc hiển thị access-denied phù hợp
**Và** API trả `401` cho unauthenticated hoặc `403` cho unauthorized
**Và** không thực hiện partial write.

**Cho trước** Admin đã đăng nhập
**Khi** session hết hạn hoặc Admin logout
**Thì** cookie/session không còn dùng được
**Và** protected API từ chối các request tiếp theo
**Và** logout nhiều lần không gây lỗi ngoài ý muốn.

**Cho trước** một authenticated Admin thực hiện create, update, submit, review hoặc publish action
**Khi** service transaction xử lý action
**Thì** audit record lưu actor, action, target kind/ID, timestamp và correlation ID
**Và** audit record không thể bị sửa/xóa qua Admin CRUD thông thường
**Và** failed transaction không để lại trạng thái nghiệp vụ giả thành công.

**Cho trước** login và authorization foundation được kiểm thử
**Khi** chạy unit/integration/contract tests
**Thì** test phân biệt success, invalid credentials, expired session, `401` và `403`
**Và** test chứng minh unauthenticated write không thay đổi database
**Và** audit output không chứa secret hoặc dữ liệu nhạy cảm bị cấm.",9,Highest,"heritagegraph,epic-1,role-be"
