Work item ID,Work type,Summary,Description,Parent,Priority,Labels
1,Epic,Epic 0: Engineering Foundation,"The development team has a reproducible deployment platform for local, testing, and AWS staging that includes environment configuration, PostgreSQL/Alembic, S3/ECR/IAM/networking, Jenkins/Terraform, observability, application shells, API mocks, and test harnesses before feature development.",,Highest,"heritagegraph,epic-0"
2,Story,"0.1 Standardize repository, environment and secrets configuration","As a developer,
I want a documented and reproducible configuration for local, test and staging environments,
So that I can run and verify HeritageGraph without relying on undocumented machine-specific settings or committing secrets.

**Acceptance Criteria:**

**Given** a new clone of the repository
**When** developers follow the setup instructions
**Then** the backend and frontend can install dependencies using the specified runtime/package manager versions
**And** basic run, test and health checks are documented.

**Given** backend, frontend, data pipeline and observability components need configuration
**When** developers view sample environment files
**Then** every required variable is listed with a safe development description and value
**And** the sample file does not contain real credentials or secrets
**And** secret/runtime artifacts are removed from source control.

**Given** the application starts in local, test or staging
**When** required configuration is missing or malformed
**Then** the application stops prematurely with a message indicating an invalid configuration name
**And** does not write the secret value to the log.

**Given** the repository already has previous code and configuration
**When** this story is deployed
**Then** existing structures are reused or standardized instead of creating a new configuration system in parallel
**And** the changes do not remove the ability to run existing tests.",1,Highest,"heritagegraph,epic-0,role-devops"
3,Story,"0.2 Set up PostgreSQL, extensions and Alembic baseline","As a backend developer,
I want a reproducible PostgreSQL 16 database baseline for local, test and AWS staging,
So that schema changes can be developed, verified and deployed consistently.

**Acceptance Criteria:**

**Given** developer has completed environment configuration in Story 0.1
**When** start the local database according to the instructions
**Then** PostgreSQL 16 is ready via health check
**And** data is stored in managed volume
**And** database does not use credential production.

**Given** an empty database
**When** run Alembic upgrade to the latest revision
**Then** the existing schema baseline was successfully created
**And** the necessary `pgvector` and `pg_trgm` extensions are enabled
**And** rerun the migration without causing errors or creating duplicate objects.

**Given** migration changes the database
**When** CI or developer tests migration
**Then** upgrade is run on a clean database
**And** downgrade/rollback is checked when migration supports rollback
**And** migration errors cause checks to fail instead of being ignored.

**Given** backend connection to local, test or RDS staging
**When** the application starts
**Then** connection URL, pool and SSL behavior are obtained from environment configuration
**And** health endpoint differentiates API live state from database ready state
**And** credential/connection string does not appear in logs.

**Given** repository already has `schema.sql` and Alembic migrations
**When** sets baseline
**Then** the existing migration history is inventoried and used as the deployment source
**And** does not create a parallel schema or pre-create a table that only serves future stories.",1,Highest,"heritagegraph,epic-0,role-data"
4,Story,"0.3 Provision AWS staging, storage and container foundation","As a platform developer,
I want a minimal, reproducible AWS staging environment,
So that HeritageGraph components can be deployed and integrated before feature development begins.

**Acceptance Criteria:**

**Given** AWS compute options are still open
**When** story begins
**Then** an ADR comparing the existing alternative, ECS/Fargate and EC2-based containers by cost, complexity, deployment time, inference and rollback
**And** ADR chooses the smallest option that meets staging/demo
**And** EKS or MWAA should not be selected without demonstrated need.

**Given** Valid AWS account and staging configuration
**When** apply infrastructure definition
**Then** staging has ECR container registry, S3 canonical bucket, necessary networking and IAM roles separated by responsibility
**And** infrastructure can be created or updated repeatedly without generating uncontrolled resources
**And** state and secrets are not committed to the repository.

**Given** RDS PostgreSQL staging is connected to the backend
**When** checks network access
**Then** RDS is not directly public
**And** only authorized workloads/roles can connect
**And** migration baseline from Story 0.2 runs successfully on staging.

**Given** backend image posted to ECR
**When** deploy to the selected compute target
**Then** public ingress only exposes the necessary endpoint over HTTPS
**And** the backend accesses RDS and S3 with appropriate IAM/configuration
**And** the frontend or smoke client can call the FastAPI health endpoint.

**Given** a raw document, manifest or test asset
**When** the workload is granted S3 write/read permissions
**Then** the object is saved under the specified prefix/policy
**And** the workload cannot perform actions beyond its minimum permissions
**And** S3 is still the canonical MVP object store, without critical-path dual-write to R2/Azure.

**Given** staging deployment error or needs to be removed
**When** operator follows the runbook
**Then** have a documented rollback/cleanup process
**And** resource ownership and expected costs can be checked.",1,High,"heritagegraph,epic-0,role-devops"
5,Story,0.4 Automate Jenkins CI/CD and Terraform delivery,"As a developer,
I want an automated delivery pipeline with enforceable quality gates,
So that changes reach AWS staging consistently and unsafe builds are rejected before deployment.

**Acceptance Criteria:**

**Given** a pull request to change the backend, frontend, migration or infrastructure
**When** Jenkins pipeline runs
**Then** pipeline only runs relevant component checks but always applies lint/type checks and required tests
**And** failure at any required gate blocking build/deploy
**And** the results of each gate are clearly displayed.

**Given** changes include database migration
**When** pipeline checks migration
**Then** migration is run on a clean test database
**And** upgrade or rollback check errors cause the pipeline to fail
**And** staging cannot be migrated if the build has not passed previous gates.

**Given** changes to Terraform
**When** CI runs infrastructure checks
**Then** formatting, validation and planning are performed
**And** plans can be reviewed before applying
**And** The Jenkins deploy role is separate from the runtime roles and has only the necessary permissions.

**Given** branch/revision is allowed to deploy and has passed all gates
**When** pipeline builds and releases components
**Then** the container image is assigned an immutable revision tag and pushed to the ECR
**And** staging deploy to the correct image revision
**And** health/smoke checks run after deploy.

**Given** smoke check after failed deployment
**When** pipeline handles deployment failure
**Then** release is marked as failed
**And** the system rolls back to the last good revision or provides a documented rollback operation
**And** pipeline does not report false successes.

**Given** new model or prompt requires rollout
**When** delivery is configured
**Then** model/prompt rollout is a separate pipeline from software deployment
**And** does not automatically promote 10% → 50% → 100% if quality, grounding, latency or error gate have not been reached.

**Given** credential is used by Jenkins
**When** the pipeline logs or exports artifacts
**Then** secrets are obtained from the appropriate credential store
**And** token, password and connection string do not appear in log/artifact.",1,High,"heritagegraph,epic-0,role-devops"
6,Story,0.5 Set observability baseline,"As an operator,
I want correlated metrics, logs and traces across HeritageGraph,
So that I can detect failures and diagnose requests without exposing sensitive data.

**Acceptance Criteria:**

**Given** a request goes through the frontend and FastAPI
**When** the request was processed successfully or failed
**Then** the system assigns or transmits correlation/trace ID
**And** structured logs have service, environment, severity, timestamp and correlation ID
**And** response/log does not reveal passwords, tokens, raw IP or sensitive personal data.

**Given** API and dependencies work
**When** Prometheus collects metrics
**Then** has a minimum request count, error count, duration histogram and dependency health
**And** metric labels do not contain unbounded values such as raw URLs, user input, or arbitrary entity IDs
**And** p50/p95/p99 can be calculated from the data obtained.

**Given** a request to call a database or internal service
**When** OpenTelemetry tracing is enabled
**Then** trace shows the path through the API and the appropriate dependency adapter
**And** error span retains enough metadata for diagnosis without containing secret or raw sensitive content
**And** the trace is sent to the configured Tempo/X-Ray target.

**Given** the application or pipeline writes structured logs
**When** Loki collects logs
**Then** operator can filter by service, environment, severity and correlation ID
**And** retention/configuration consistent with a documented demo environment.

**Given** a call to Qwen or grounded QA in the following stories
**When** Langfuse integration is used
**Then** trace contract supports model, prompt, corpus version, evidence IDs, token usage, latency and grounding result
**And** raw prompt/evidence is only saved according to the configured privacy policy
**And** observability failure does not cause the business request to fail.

**Given** telemetry baseline is running
**When** operator opens Grafana
**Then** dashboard displays service health, request/error rate and latency
**And** there is a baseline alert for service unavailable, error-rate spike and latency threshold
**And** dashboard/alert definitions are versioned.

**Given** a smoke request on AWS staging
**When** request completed
**Then** operator traces requests from health/API signal through logs and service trace
**And** smoke test confirms telemetry endpoint is not public beyond policy permission.",1,Medium,"heritagegraph,epic-0,role-devops"
7,Story,"0.6 Set up design foundations, application shells and API mocks","As a frontend developer,
I want approved design foundations and runnable public/admin application shells backed by API mocks,
So that UI stories can be developed consistently before all backend features are available.

**Acceptance Criteria:**

**Given** Current UX contract
**When** Figma foundations and frontend theme are set up
**Then** color, typography, spacing, radius, elevation and motion tokens have unified semantic names
**And** the mapping between Figma tokens and code tokens is documented
**And** basic contrast meets WCAG 2.1 AA.

**Given** the user opens the Public Portal shell
**When** navigate between `/`, `/explore`, `/map`, `/chat` and `/preferences`
**Then** the routes have shared heritage-storytelling navigation/layout and appropriate placeholder state
**And** desktop/mobile keep the same hierarchy
**And** the shell doesn't pretend to provide a feature that hasn't been implemented yet.

**Given** admin has entered the `/admin/*` shell
**When** navigates between placeholder admin areas
**Then** the interface uses Ant Design dashboard/form/table conventions instead of Tapestry composition
**And** public and admin themes do not leak styles or layouts to each other
**And** route structure is ready for auth guard in Story 1.1.

**Given** OpenAPI contract or response schema is defined
**When** the frontend calls the mock API
**Then** mock returns the correct schema response for representative success, empty and error cases
**And** the frontend uses generated/shared types instead of declaring duplicate payloads
**And** contract drift can be detected by automated checks.

**Given** a page is loading, has no data or has an error
**When** the shell renders the corresponding state
**Then** has reusable loading, empty and error primitives
**And** focus, keyboard navigation, landmark and accessible name basically work
**And** states are not only distinguished by color.

**Given** frontend shell can be run locally or on staging
**When** perform smoke test in representative desktop and mobile viewports
**Then** navigation and route rendering work without unintended horizontal overflow
**And** the frontend can switch between mock base URL and FastAPI base URL using environment configuration
**And** there is no need to edit the source code to change the environment.",1,Highest,"heritagegraph,epic-0,role-fe"
8,Story,"0.7 Set up test harness, fixtures and documentation templates","As a developer,
I want reusable automated test infrastructure and documentation templates,
So that every later story can prove its behavior and leave consistent implementation evidence.

**Acceptance Criteria:**

**Given** backend code needs unit, database or integration testing
**When** developer runs test suite according to documented command
**Then** pytest discovery, markers and test configuration work consistently locally/CI
**And** test database is isolated and reset between appropriate tests
**And** test does not depend on credential or shared staging data.

**Given** story needs representative knowledge data
**When** test uses fixture/factory
**Then** fixture has a minimum document, passage, entity and provenance with a defined ID
**And** can be extended to draft/published/version-isolation cases
**And** expected result is determined independently of the implementation under test.

**Given** frontend and API contract need testing
**When** contract test runs
**Then** representative success, validation error and service error payload are tested against the current schema
**And** mismatch between generated frontend types/mock and OpenAPI causes the test to fail.

**Given** Public/Admin shell runs with mock or test backend
**When** Playwright smoke suite runs
**Then** the suite tests the main route, navigation and a representative desktop/mobile viewport
**And** save screenshot/trace on failure
**And** selector prioritizes role/accessible names instead of fragile CSS structure dependencies.

**Given** AI/retrieval behavior is added in later epics
**When** developers add regression cases
**Then** harness supports fixed query, versioned evidence and deterministic expected gate/result
**And** report has room to record model, prompt, corpus and evaluation dataset version
**And** a test is not considered a pass just because the request did not crash.

**Given** a story that changes the API, database, operations or architecture
**When** story is completed
**Then** there are suitable templates for API/data docs, migration/rollback notes, ADR or runbooks
**And** test evidence and demo evidence have consistent location/link conventions
**And** the documentation does not require copying the same source of truth into multiple places.

**Given** Jenkins pipeline from Story 0.4
**When** test harness is integrated
**Then** unit, integration, contract and Playwright smoke checks run at the appropriate stage
**And** failure artifact is kept for diagnostics
**And** required test failure blocks deployment.",1,High,"heritagegraph,epic-0,role-be"
9,Epic,Epic 1: Admin Knowledge Studio,"Administrators log in and compile an entire knowledge package — document, passage, entity/alias/place profile, claim, timeline, relation, narrative and evidence — in draft state without manual SQL, UUID or foreign key manipulation.",,Highest,"heritagegraph,epic-1"
10,Story,"1.1 Authenticate, authorize and audit for Admin","As an administrator,
I want to sign in securely and have administrative actions authorized and audited,
So that only permitted users can modify cultural knowledge and every change is accountable.

**Acceptance Criteria:**

**Given** a properly provisioned Admin account
**When** Admin logs in with correct information
**Then** the password is checked using Argon2id
**And** sessions are issued via cookies `HttpOnly`, `Secure` on staging/production and `SameSite` accordingly
**And** the raw password or session token does not appear in the response body, log or trace.

**Given** Incorrect credential or account not allowed to log in
**When** sends login request
**Then** the system refuses with a message not revealing which email/account exists
**And** does not create an authenticated session
**And** failure events are logged sufficiently for investigation but do not contain passwords, tokens, or raw IPs.

**Given** request to `/admin/*` or Admin API
**When** request does not have a valid session or does not have the necessary permissions
**Then** The UI moves to login or displays access-denied accordingly
**And** API returns `401` for unauthenticated or `403` for unauthorized
**And** does not perform partial write.

**Given** Admin has logged in
**When** session expires or Admin logs out
**Then** cookie/session is no longer available
**And** protected API denies further requests
**And** logging out multiple times does not cause unexpected errors.

**Given** an authenticated Admin to create, update, submit, review or publish action
**When** service transaction processes the action
**Then** audit record stores actor, action, target kind/ID, timestamp and correlation ID
**And** audit records cannot be edited/deleted via regular Admin CRUD
**And** failed transaction does not leave a false business success status.

**Given** login and authorization foundation tested
**When** run unit/integration/contract tests
**Then** test distinguishes success, invalid credentials, expired session, `401` and `403`
**And** test proves that unauthenticated write does not change the database
**And** audit output does not contain secrets or prohibited sensitive data.",9,Highest,"heritagegraph,epic-1,role-be"
